,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
250,426 Amsterdam Avenue,,Amsterdam Soup,420-428 Amsterdam LLC,Manhattan,750,,,Upper West Side,07/29/2019,Annie Sao,Aaron Noorani,Retail Leasing,08/09/2019,ASA Group,Winick Realty Group,,,
251,426 Amsterdam Avenue,,Amsterdam Soup,420-428 Amsterdam LLC,Manhattan,750,,,Upper West Side,07/29/2019,Annie Sao,Aaron Noorani,Retail Leasing,08/09/2019,ASA Group,Winick Realty Group,,,
252,426 Amsterdam Avenue,,Amsterdam Soup,420-428 Amsterdam LLC,Manhattan,750,,,Upper West Side,07/29/2019,Annie Sao,Aaron Noorani,Retail Leasing,08/09/2019,ASA Group,Winick Realty Group,,,
253,1265 Broadway,,Teso Life,1265 Broadway LLC,Manhattan,11000,,,Garment District,07/26/2019,Abby Chen,,Retail Leasing,08/09/2019,Oxford Property Group,Torkian Group,,,
254,1265 Broadway,,Teso Life,1265 Broadway LLC,Manhattan,11000,,,Garment District,07/26/2019,Abby Chen,,Retail Leasing,08/09/2019,Oxford Property Group,Torkian Group,,,
255,1265 Broadway,,Teso Life,1265 Broadway LLC,Manhattan,11000,,,Garment District,07/26/2019,Abby Chen,,Retail Leasing,08/09/2019,Oxford Property Group,Torkian Group,,,
256,1265 Broadway,,Teso Life,1265 Broadway LLC,Manhattan,11000,,,Garment District,07/26/2019,Abby Chen,,Retail Leasing,08/09/2019,Oxford Property Group,Torkian Group,,,
257,178 North 4th Street,,Remedy,CB Developers,Brooklyn,3800,,,Williamsburg,07/25/2019,Donny Moskovic,Ike Bibi,Retail Leasing,07/26/2019,Katz & Associates,RKF,,,
258,277 West 22nd Street,,F+B Operator Bobby Khorrami,Big Apple Management,Manhattan,2007,,,Chelsea,07/25/2019,Barclay Smyly,"Brad Schwarz, Brendan Reichenbacher",Retail Leasing,08/16/2019,Alonzo Properties,Lee & Associates NYC,,,
259,277 West 22nd Street ,,F+B Operator Bobby Khorrami,Big Apple Management,Manhattan,2007,,,Chelsea,07/25/2019,Barclay Smyly,"Brad Schwarz, Brendan Reichenbacher",Retail Leasing,08/16/2019,Alonzo Properties,Lee & Associates NYC,,,
260,2060 Broadway,,Pizza Collective,South Pierre Associates,Manhattan,1553,,,Upper West Side,07/25/2019,Francesco Bardazzi,"Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,PD Properties,Winick Realty Group,,,
261,2060 Broadway,,Pizza Collective,South Pierre Associates,Manhattan,1553,,,Upper West Side,07/25/2019,Francesco Bardazzi,"Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,PD Properties,Winick Realty Group,,,
262,2060 Broadway,,Pizza Collective,South Pierre Associates,Manhattan,1553,,,Upper West Side,07/25/2019,Francesco Bardazzi,"Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,PD Properties,Winick Realty Group,,,
263,312 West 34th Street,,AMC Theatres,SL Green Realty,Manhattan,95341,,,Penn Plaza,07/24/2019,,,Retail Leasing,07/26/2019,,,,,
264,635 4th Avenue,,Special Offer Lighting & Furniture,Bushburg Properties,Brooklyn,1300,,,Sunset Park,07/24/2019,,"Zjama Rogatsky, Rebecca Lapidus",Retail Leasing,07/26/2019,,Zjama Realty,,,
265,197 East 3rd Street,,Bookclub Bar,NPE3,Manhattan,1212,,,East Village,07/24/2019,,"Joe Mastromonaco, Peter Lyons, Evan Clements",Retail Leasing,07/26/2019,,Dartmouth Company,,,
266,406 East 64th Street,,Hatfield & McCoy Public House,Brusco Management,Manhattan,1500,,,Upper East Side,07/23/2019,Ina Danoth,Jeff Geoghegan,Retail Leasing,07/26/2019,Capstone Realty Advisors,Amity Realty,,,
267,Pier 57,,City Winery,RXR Realty,Manhattan,32000,,,Chelsea,07/22/2019,Peter Braus,William Elder,Retail Leasing,08/16/2019,Lee & Associates NYC,RXR Realty,,,
268,Pier 57,,City Winery,RXR Realty,Manhattan,32000,,,Chelsea,07/22/2019,Peter Braus,William Elder,Retail Leasing,08/16/2019,Lee & Associates NYC,RXR Realty,,,
269,Pier 57,,City Winery,RXR Realty,Manhattan,32000,,,Chelsea,07/22/2019,Peter Braus,William Elder,Retail Leasing,08/16/2019,Lee & Associates NYC,RXR Realty,,,
270,168 Bleecker Street,,MÖGE TEE,156 Bleecker Owner,Manhattan,2401,,,Greenwich Village,07/22/2019,Mark Kapnick,Mark Kapnick,Retail Leasing,07/26/2019,Lee & Associates NYC,Lee & Associates NYC,,,
271,2684 Fulton Street,,Prosper Go Work,M & A First,Brooklyn,1200,,,Cypress Hills,07/22/2019,Chandler Slate,Chandler Slate,Retail Leasing,07/26/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
272,351 Legion Street,,It's More Than Cooking,Riverdale Residence,Brooklyn,400,,,Brownsville,07/22/2019,Tamako Okamura,Avi Akiva,Retail Leasing,07/26/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
273,One Fulton Square,,Nan Xiang Xiao Long Bao,F&T Group,Queens,5113,,,Flushing,07/19/2019,,,Retail Leasing,07/26/2019,,F&T Group,,,
274,251 West 30th Street,,Bobby Khorrami,251 West 30th Owner,Manhattan,1817,,,Penn Plaza,07/18/2019,Joshua Berkun,"John Monaco, Jeffrey Roseman",Retail Leasing,07/19/2019,Nest Seekers International,"HSP Real Estate Group, Newmark Knight Frank",,,
275,231 Grand Street,,The Attic,Grand Living,Brooklyn,1660,,,Williamsburg,07/18/2019,Aric Trahktenberg,,Retail Leasing,11/01/2019,Newmark Knight Frank,,,,
276,105 West Street,,Building Blocks Daycare II,93 Waterfront,Brooklyn,2875,,,Greenpoint,07/17/2019,Tamako Okamura,Shlomi Bagdadi,Retail Leasing,07/19/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
277,223 Kent Avenue,,Upstate Stock,Sym Realty MGMT & Dev,Brooklyn,1600,,,Williamsburg,07/17/2019,Josh Singer,Josh Singer,Retail Leasing,07/19/2019,Heller Organization,Heller Organization,,,
278,105 West Street,,GPW Salon,93 Waterfront,Brooklyn,1129,,,Greenpoint,07/17/2019,Tamako Okamura,Shlomi Bagdadi,Retail Leasing,07/19/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
279,1096 Dekalb Avenue,,BK Skateshop,1096 Dekalb LLC,Brooklyn,400,,,Bedford-Stuyvesant,07/17/2019,Dov Bleich,Avi Akiva,Retail Leasing,07/19/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
280,10-22 Wyckoff Avenue,,Venn City,10-22 Wyckoff LLC,Queens,7975,,,Ridgewood,07/15/2019,"Peter Schubert, Abbie Cheng, Bill Strassman","Peter Schubert, Abbie Cheng, Bill Strassman",Retail Leasing,07/19/2019,TerraCRG,TerraCRG,,,
281,123 Fifth Avenue,,Crystal Design,Torkian Group,Manhattan,2400,,,Flatiron,07/15/2019,"Gregory Gang, Sergio Turaev",Gina Ignatieva,Retail Leasing,08/16/2019,Lee & Associates NYC,ABH Realty,,,
282,123 Fifth Avenue,,Crystal Design,Torkian Group,Manhattan,2400,,,Flatiron,07/15/2019,"Gregory Gang, Sergio Turaev",Gina Ignatieva,Retail Leasing,08/16/2019,Lee & Associates NYC,ABH Realty,,,
283,653 Ninth Avenue,,Taco Mahal,653 Ninth LLC,Manhattan,1700,,,Hell's Kitchen,07/15/2019,Tom Brady,"Clayton Traynham, James Famularo",Retail Leasing,07/19/2019,Douglas Elliman,Meridian Retail Leasing,,,
284,1727 Broadway,,Riverside Music Studios,Granite Retail,Manhattan,1650,,,Midtown West,07/15/2019,Ken Lerner,Greg Gang,Retail Leasing,07/19/2019,Okada & Company,Lee & Associates NYC,,,
285,1195 River Avenue,,God Bless You All,Chestnut Holdings of New York,Bronx,800,,,Longwood Melrose,07/15/2019,"Christopher Walther, Scott Rothstein","Christopher Walther, Scott Rothstein",Retail Leasing,07/19/2019,Ripco Real Estate,Ripco Real Estate,,,
286,553 Wilson Avenue,,Venn City,Cycamore Capital,Brooklyn,800,,,Bushwick,07/15/2019,"Peter Schubert, Abbie Cheng, Bill Strassman","Peter Schubert, Abbie Cheng, Bill Strassman",Retail Leasing,07/19/2019,TerraCRG,TerraCRG,,,
287,5 Central Avenue,,Brooklyn Bow Wow,Flushing Avenue Partners,Brooklyn,440,,,Bushwick,07/15/2019,"Andrew Clemens, Scott Rothstein","Andrew Clemens, Scott Rothstein",Retail Leasing,07/19/2019,Ripco Real Estate,Ripco Real Estate,,,
288,258 Bergen Street,,Mala Yoga,Fifth Avenue Committee,Brooklyn,425,,,Boerum Hill,07/15/2019,,"Peter Schubert, Abbie Cheng, Bill Strassman",Retail Leasing,07/19/2019,,TerraCRG,,,
289,987 Second Avenue,,Draught 55,Rocky Lee Corp,Manhattan,7750,,,Midtown East,07/12/2019,William Zorzy,Michael Shkreli,Retail Leasing,08/09/2019,,Winick Realty Group,,,
290,987 Second Avenue,,Draught 55,Rocky Lee Corp,Manhattan,7750,,,Midtown East,07/12/2019,William Zorzy,Michael Shkreli,Retail Leasing,08/09/2019,,Winick Realty Group,,,
291,987 Second Avenue,,Draught 55,Rocky Lee Corp,Manhattan,7750,,,Midtown East,07/12/2019,William Zorzy,Michael Shkreli,Retail Leasing,08/09/2019,,Winick Realty Group,,,
292,76 Saint Marks Avenue,,Momosan Ramen & Sake,RedSky Capital,Brooklyn,4173,,,Park Slope,07/11/2019,Jason Richter,,Retail Leasing,07/12/2019,Capricorn Retail Advisors,RKF,,,
293,175 Delancey Street,,Hilltop Bicycles,"Prusik Group, L+M Development Partners, BFC Partners, Taconic Investment Partners, Goldman Sachs Urban Investment Group",Manhattan,2000,,,Lower East Side,07/11/2019,,,Retail Leasing,07/12/2019,,,,,
294,218 West 40th Street,,KFF,218 West 40th Associates,Manhattan,22927,,,Garment District,07/10/2019,Young Byunn,"Brian Neugeboren, Nicole Goetz, Bob Savitt",Retail Leasing,07/12/2019,Winick Realty Group,Savitt Partners,,,
295,101 Greenwich Street,,Plus Six One,2 Rector Street LLC,Manhattan,960,,,Financial District,07/09/2019,"Steven Baker, Daniyel Cohen","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
296,101 Greenwich Street,,Plus Six One,2 Rector Street LLC,Manhattan,960,,,Financial District,07/09/2019,"Steven Baker, Daniyel Cohen","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
297,101 Greenwich Street,,Plus Six One,2 Rector Street LLC,Manhattan,960,,,Financial District,07/09/2019,"Steven Baker, Daniyel Cohen","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
298,101 Greenwich Street,,Plus Six One,2 Rector Street LLC,Manhattan,960,,,Financial District,07/09/2019,"Steven Baker, Daniyel Cohen","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
299,639 Classon Avenue,,Magic Moments Academy,Green Pacific Realty,Brooklyn,11500,,,Crown Heights,07/08/2019,James Monteleone,James Monteleone,Retail Leasing,07/12/2019,All Points Real Estate,All Points Real Estate,,,
300,241 Atlantic Avenue,,7-Eleven,ACHS Management,Brooklyn,1900,,,Boerum Hill,07/08/2019,Scott Sher,Scott Sher,Retail Leasing,07/12/2019,Katz & Associates,Katz & Associates,,,
301,1357 Fulton Street,,Black Ink,Bawabeh Brothers#2,Brooklyn,1000,,,Bedford-Stuyvesant,07/08/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,07/12/2019,Augenbaum Realty,Augenbaum Realty,,,
302,694 Franklin Avenue,,Luxe Nails,694 Franklin Avenue LLC,Brooklyn,2000,,,Crown Heights,07/03/2019,Chandler Slate,Avi Akiva,Retail Leasing,07/05/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
303,217 Court Street,,Zero G Brazilian JiuJItsu,Court Flats,Brooklyn,1700,,,Boerum Hill,07/03/2019,Chandler Slate,Avi Akiva,Retail Leasing,07/05/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
304,334 Marcus Garvey Boulevard,,Lucky's Cocktail Lounge,334 M,Brooklyn,1100,,,Bedford-Stuyvesant,07/03/2019,Chandler Slate,Avi Akiva,Retail Leasing,07/05/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
305,924 Myrtle Avenue,,PharmBlue,928 Myrtle Avenue LLC,Brooklyn,900,,,Bedford-Stuyvesant,07/03/2019,Chandler Slate,Brad Krosser,Retail Leasing,07/05/2019,Tri State Commercial Realty,EXR,,,
306,1257 Fulton Street,,Papa John's Pizza,Chambers Fish,Brooklyn,750,,,Bedford-Stuyvesant,07/03/2019,Arsen Atbashyan,Arsen Atbashyan,Retail Leasing,07/05/2019,Commercial Acquisitions,Commercial Acquisitions,,,
307,61 North 9th Street,,Wonder World NYC,61 North 9th LLC,Brooklyn,8000,,,Williamsburg,07/02/2019,Jacob Twena,"Shlomi Bagdadi, Avi Akiva",Retail Leasing,07/05/2019,Tri State Commercial Realty,Tri State Commercial Realty,,,
308,507 West 28th Street,,Manhattan Schoolhouse,Maestro West Chelsea,Manhattan,4650,,,Chelsea,07/02/2019,Daniele Kurzweil,"Lee Block, Jason Stein",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
309,507 West 28th Street,,Manhattan Schoolhouse,Maestro West Chelsea,Manhattan,4650,,,Chelsea,07/02/2019,Daniele Kurzweil,"Lee Block, Jason Stein",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
310,507 West 28th Street,,Manhattan Schoolhouse,Maestro West Chelsea,Manhattan,4650,,,Chelsea,07/02/2019,Daniele Kurzweil,"Lee Block, Jason Stein",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
311,507 West 28th Street,,Manhattan Schoolhouse,Maestro West Chelsea,Manhattan,4650,,,Chelsea,07/02/2019,Daniele Kurzweil,"Lee Block, Jason Stein",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
312,1425 Second Avenue,,Buka Derm Management,1429 Second Avenue LLC,Manhattan,2605,,,Upper East Side,07/02/2019,Michael Yadgard,"Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
313,1425 Second Avenue,,Buka Derm Management,1429 Second Avenue LLC,Manhattan,2605,,,Upper East Side,07/02/2019,Michael Yadgard,"Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
314,1425 Second Avenue,,Buka Derm Management,1429 Second Avenue LLC,Manhattan,2605,,,Upper East Side,07/02/2019,Michael Yadgard,"Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
315,1425 Second Avenue,,Buka Derm Management,1429 Second Avenue LLC,Manhattan,2605,,,Upper East Side,07/02/2019,Michael Yadgard,"Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Compass,Winick Realty Group,,,
316,227 10th Avenue,,The Mermaid Inn,227 Tenth Avenue Company,Manhattan,2100,,,Chelsea,07/02/2019,"Aaron Gavios, Margaret Royer","Aaron Gavios, Margaret Royer",Retail Leasing,07/05/2019,Gavios Realty,Gavios Realty,,,
317,36 West 36th Street,,Eksprovocator Hair Club,36 West 36th Street Assets,Manhattan,1900,,,Garment District,07/02/2019,"Gregory Gang, Sergio Turaev","Catherine O'Toole, David Scher, Milana Kakuriyeva",Retail Leasing,08/16/2019,Lee & Associates NYC,Lee & Associates NYC,,,
318,36 West 36th Street,,Eksprovocator Hair Club,36 West 36th Street Assets,Manhattan,1900,,,Garment District,07/02/2019,"Gregory Gang, Sergio Turaev","Catherine O'Toole, David Scher, Milana Kakuriyeva",Retail Leasing,08/16/2019,Lee & Associates NYC,Lee & Associates NYC,,,
319,1243 Second Avenue,,QQ Nails,GLL BVK Properties,Manhattan,1696,,,Upper East Side,07/02/2019,"Manu Wendum, Lee Block","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
320,1243 Second Avenue,,QQ Nails,GLL BVK Properties,Manhattan,1696,,,Upper East Side,07/02/2019,"Manu Wendum, Lee Block","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
321,1243 Second Avenue,,QQ Nails,GLL BVK Properties,Manhattan,1696,,,Upper East Side,07/02/2019,"Manu Wendum, Lee Block","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
322,1243 Second Avenue,,QQ Nails,GLL BVK Properties,Manhattan,1696,,,Upper East Side,07/02/2019,"Manu Wendum, Lee Block","Steven Baker, Daniyel Cohen",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
323,110 West 26th Street,,Fabscrap,Gindi family,Manhattan,1170,,,Chelsea,07/02/2019,Elizabeth Han,"Ravi Idnani, Andrew Stern",Retail Leasing,07/05/2019,Century 21,RKF,,,
324,177 Ninth Avenue,,Mojo Chef,Chelsea West 21st,Manhattan,775,,,Chelsea,07/02/2019,"Charles Rapuano, Steven Baker","Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
325,177 Ninth Avenue,,Mojo Chef,Chelsea West 21st,Manhattan,775,,,Chelsea,07/02/2019,"Charles Rapuano, Steven Baker","Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
326,177 Ninth Avenue,,Mojo Chef,Chelsea West 21st,Manhattan,775,,,Chelsea,07/02/2019,"Charles Rapuano, Steven Baker","Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
327,177 Ninth Avenue,,Mojo Chef,Chelsea West 21st,Manhattan,775,,,Chelsea,07/02/2019,"Charles Rapuano, Steven Baker","Charles Rapuano, Steven Baker",Retail Leasing,08/09/2019,Winick Realty Group,Winick Realty Group,,,
328,92 Court Street,,Banhmigos,92 Court St Associates,Brooklyn,625,,,Brooklyn Heights,07/02/2019,Matthew Moeini,James Monteleone,Retail Leasing,07/12/2019,Oxford Property Group,All Points Real Estate,,,
329,29-22 Northern Boulevard,,Planet Fitness,Simon Baron Development,Queens,18271,,,Long Island City,07/01/2019,Richard Chera,"Steven Baker, Thomas Galo",Retail Leasing,08/09/2019,Crown Acquisitions,Winick Realty Group,,,
330,29-22 Northern Boulevard,,Planet Fitness,Simon Baron Development,Queens,18271,,,Long Island City,07/01/2019,Richard Chera,"Steven Baker, Thomas Galo",Retail Leasing,08/09/2019,Crown Acquisitions,Winick Realty Group,,,
331,29-22 Northern Boulevard,,Planet Fitness,Simon Baron Development,Queens,18271,,,Long Island City,07/01/2019,Richard Chera,"Steven Baker, Thomas Galo",Retail Leasing,08/09/2019,Crown Acquisitions,Winick Realty Group,,,
332,291 Kent Avenue,,Blend on the Water,MYT Properties,Brooklyn,6050,,,Williamsburg,07/01/2019,Chandler Slate,"Alan Chabbott, Brad Krosser, Brendan Thrapp",Retail Leasing,09/27/2019,Tristate Commercial Realty,EXR,,,
333,2756 Broadway,,Calle Ocho,Michael Rose,Manhattan,4400,,,Upper West Side,07/01/2019,"Jarrett Sharp, Gage Sharp","Jarrett Sharp, Gage Sharp",Retail Leasing,07/05/2019,Murro Realty,Murro Realty,,,
334,40 Wooster Street,,Project RT,Northwind Group,Manhattan,2000,,,Soho,07/01/2019,Christine Emery,"Greg Goldberg, James Famularo",Retail Leasing,07/05/2019,MHP Real Estate Services,Meridian Capital Group,,,
335,413 Myrtle Avenue,,Cap't Loui Seafood,Chiles Y Chocolate Cucina Urbana,Brooklyn,1800,,,Clinton Hill,07/01/2019,James Monteleone,James Monteleone,Retail Leasing,07/12/2019,All Points Real Estate,All Points Real Estate,,,
336,56-53 Myrtle Avenue,,Myrtle Seneca Pub,56-53 Ams Myrtle,Queens,1792,,,Ridgewood,07/01/2019,"Aric Trakhtenberg, David Abrams","Aric Trakhtenberg, David Abrams",Retail Leasing,08/09/2019,RKF,RKF,,,
337,56-53 Myrtle Avenue,,Myrtle Seneca Pub,56-53 Ams Myrtle,Queens,1792,,,Ridgewood,07/01/2019,"Aric Trakhtenberg, David Abrams","Aric Trakhtenberg, David Abrams",Retail Leasing,08/09/2019,RKF,RKF,,,
338,56-53 Myrtle Avenue,,Myrtle Seneca Pub,56-53 Ams Myrtle,Queens,1792,,,Ridgewood,07/01/2019,"Aric Trakhtenberg, David Abrams","Aric Trakhtenberg, David Abrams",Retail Leasing,08/09/2019,RKF,RKF,,,
339,388 5th Avenue,,Ramen Boil Boil,Gerard Aygar,Brooklyn,625,,,Park Slope,07/01/2019,James Monteleone,James Monteleone,Retail Leasing,07/12/2019,All Points Real Estate,All Points Real Estate,,,
340,90 West 225th Street,,Foot Locker,Washington Square Partners,Manhattan,4727,,,Inwood,06/28/2019,Evan Schuckman,Larry Roberts,Retail Leasing,06/28/2019,Ripco,Arch Brokerage,,,
341,1250 Waters Place,,Burke Rehabilitation,Simone Development,Bronx,6583,,,Parkchester,06/27/2019,,James MacDonald,Retail Leasing,06/28/2019,,Simone Development,,,
342,59-04 99th Street,,Wonder Playhouse,LeFrak,Queens,4200,,,Corona,06/27/2019,Han Chen,"Mark Kapnick, Bradley Diamond, Elliot Diamond",Retail Leasing,07/19/2019,Great Ocean Realty,Lee & Associates NYC,,,
343,535 Clinton Avenue,,Walkin GYN,Bonjour Capital,Brooklyn,1800,,,Clinton Hill,06/27/2019,James Monteleone,James Monteleone,Retail Leasing,07/12/2019,All Points Real Estate,All Points Real Estate,,,
344,170 West 23rd Street,,Mind Body Project,Jack Resnick & Sons,Manhattan,3780,,,Chelsea,06/26/2019,Michael Azarian,"Brett Greenberg, Fran Delgorio, Joanne Podell, Matthew Ball",Retail Leasing,06/28/2019,Cushman & Wakefield,"Jack Resnick & Sons, Cushman & Wakefield",,,
345,170 West 23rd Street,,East One Coffee Roasters,Jack Resnick & Sons,Manhattan,1700,,,Chelsea,06/26/2019,Joe Robinson,"Brett Greenberg, Fran Delgorio, Joanne Podell, Matthew Ball",Retail Leasing,06/28/2019,Flagship Realty Advisors,"Jack Resnick & Sons, Cushman & Wakefield",,,
346,170 West 23rd Street,,Pet Central,Jack Resnick & Sons,Manhattan,1600,,,Chelsea,06/26/2019,TJ Russo,"Brett Greenberg, Fran Delgorio, Joanne Podell, Matthew Ball",Retail Leasing,06/28/2019,Orsid Realty,"Jack Resnick & Sons, Cushman & Wakefield",,,
347,14 Wall Street,,Equinox Fitness,Alexander Rovt,Manhattan,36500,,,Financial District,06/25/2019,,Darrell Rubens,Retail Leasing,06/28/2019,,RKF,,,
348,40 Bleecker Street,,Clean Market,Broad Street Development,Manhattan,2600,,,Noho,06/25/2019,Jack Terzi,David Israni,Retail Leasing,06/28/2019,JTRE,Broad Street Development,,,
349,240 West 37th Street,,Close Out Center,240 West 37 LLC,Manhattan,2900,,,Garment District,06/24/2019,Matthew Kurzban,"Richard Smith, Aaron Noorani",Retail Leasing,07/12/2019,Capstone Realty,Winick Realty Group,,,
350,260 West 36th Street,,Music Makers,260 West 36th Associates,Manhattan,7000,,,Garment District,06/21/2019,Mitchell Grossman,"Catherine O'Toole, Stephanie Moore",Retail Leasing,07/19/2019,Corporate Real Estate Solutions,Lee & Associates NYC,,,
351,74 Broad Street,,Tacombi,Caspi Development,Manhattan,2898,,,Financial District,06/21/2019,"Michael Greenberg, Larry Link","Andrew Stern, Alex Arsenis",Retail Leasing,06/28/2019,Level Group,RKF,,,
352,512 Nostrand Avenue,,Bergen Bagels,Alhambra Associates,Brooklyn,1500,,,Bedford-Stuyvesant,06/21/2019,"David Dubinsky, Brad Krosser","David Dubinsky, Brad Krosser",Retail Leasing,06/20/2019,EXR,EXR,,,
353,201 East 125th Street,,Food Bazaar,"Richman Group Development, Bridges Development Group, Monadnock Development, Hope Community Development, El Barrio Operation Fightback",Manhattan,45885,,,Central Harlem,06/20/2019,"Mark Tergesen, Joe Italiaander",Michael Berfield,Retail Leasing,06/20/2019,ABS Partners Real Estate,"Bridges Development Group, Ripco Real Estate",,,
354,230 Vesey Street,,Suitsupply,Brookfield Property Partners,Manhattan,2003,,,Battery Park City,06/20/2019,,"Michael Goldban, Mark Kostic",Retail Leasing,06/20/2019,,Brookfield Property Partners,,,
355,1 Bennett Avenue,,Organic Goodness,One Bennett Holding,Manhattan,1102,,,Washington Heights,06/18/2019,,Jeffret Angel,Retail Leasing,06/28/2019,,RES Commercial,,,
356,2590 Frederick Douglas Boulevard,,Reverance,HYK-273 W 138,Manhattan,1000,,,Central Harlem,06/18/2019,Orhan Chapkanov,Levy Tewel,Retail Leasing,06/20/2019,Level Group,Compass,,,
357,205 10th Avenue,,The Practice Room,Highline 22,Manhattan,700,,,Chelsea,06/18/2019,Yossi Capland,Clayton Traynham,Retail Leasing,06/20/2019,Compass,Meridian Capital Group,,,
358,300 Schermerhorn Street,,Grand Canyon Bistro,Mehta Family II,Brooklyn,4000,,,Brooklyn Heights,06/17/2019,"James Famularo, Ben Biberaj, Logan Ryan","James Famularo, Ben Biberaj, Logan Ryan",Retail Leasing,06/20/2019,Meridian Capital Group,Meridian Capital Group,,,
359,53 Delancey Street,,Paint N Pour,Dayon Realty,Manhattan,2300,,,Lower East Side,06/17/2019,Jeff Zhang,Jeff Zhang,Retail Leasing,10/04/2019,Longines NY,Longines NY,,,
360,91 Crosby Street,,Marysia,Javier Capital,Manhattan,2000,,,Soho,06/17/2019,"Neal Klotsman, Viktar Kolatau","Neal Klotsman, Viktar Kolatau",Retail Leasing,06/20/2019,Douglas Elliman,Douglas Elliman,,,
361,300 Livingston Street,,Taste Korea,33 Bond St LLC,Brooklyn,1712,,,Brooklyn Heights,06/17/2019,,"Steven Baker, Daniyel Cohen",Retail Leasing,07/12/2019,,Winick Realty Group,,,
362,12242 Flatlands Avenue,,Heartshare Human Services,Hudson Companies,Brooklyn,19000,,,East New York,06/15/2019,Barry Rosner,"Richard Senior, David Goldschmidt",Retail Leasing,06/13/2019,Newmark Knight Frank,RIPCO Real Estate,,,
363,949 Flatbush Avenue,,TD Bank,Ash Realty,Brooklyn,2300,,,Flatbush,06/15/2019,Richard Senior,Richard Senior,Retail Leasing,06/13/2019,RIPCO Real Estate,RIPCO Real Estate,,,
364,5 Central Avenue,,Brush in Hand,Flushing Avenue Partners,Brooklyn,522,,,Bushwick,06/15/2019,"Andrew Clemens, Scott Rothstein","Andrew Clemens, Scott Rothstein",Retail Leasing,06/13/2019,RIPCO Real Estate,RIPCO Real Estate,,,
365,5 Central Avenue,,Kato Sake Works,Flushing Avenue Partners,Brooklyn,493,,,Bushwick,06/15/2019,"Andrew Clemens, Scott Rothstein","Andrew Clemens, Scott Rothstein",Retail Leasing,06/13/2019,RIPCO Real Estate,RIPCO Real Estate,,,
366,67 Greene Street,,Norrøna,67-65 Greene Street LLC,Manhattan,5000,,,Soho,06/14/2019,Claire Chapin,Christine Emery,Retail Leasing,06/20/2019,,MHP Real Estate Services,,,
367,133-27 39th Avenue,,The Beer Assembly,"Shanghai Construction Group, F&T Group",Queens,3550,,,Flushing,06/14/2019,,,Retail Leasing,06/20/2019,,,,,
368,501 Madison Avenue,,Caruso Menswear,KWR Realty Advisors,Manhattan,1855,,,Plaza District,06/14/2019,"Alicia Parente, Roger Mazzeo","Timothy Pond, Alexander Jinishina",Retail Leasing,06/13/2019,Savitt Partners,Colliers International,,,
369,32 5th Avenue,,Insomnia Cookies,Hidrock Properties,Brooklyn,725,,,Park Slope,06/13/2019,"Jay Gilbert, Jansen Hafen","Steve Hidary, David Dayan",Retail Leasing,06/13/2019,SRS Real Estate Partners,Hidrock Properties,,,
